id,x,y,deg
170_1,s-3.30798,s2.54782,s163.91
170_2,s-3.42514,s-4.68342,s345.101
170_3,s-4.70848,s-3.79358,s343.275
170_4,s-2.57666,s-2.8236,s344.22
170_5,s1.49356,s-2.8837,s344.598
170_6,s-2.48157,s0.923725,s344.357
170_7,s-3.19812,s-0.916828,s344.495
170_8,s0.711972,s-4.68303,s343.718
170_9,s-4.03008,s-3.77495,s344.793
170_10,s-4.80261,s2.54298,s158.574
170_11,s2.20001,s-4.67542,s337.216
170_12,s-3.18011,s0.918402,s344.404
170_13,s-1.40844,s-4.68312,s344.009
170_14,s-2.48397,s1.84577,s344.513
170_15,s-2.67327,s-3.73197,s344.134
170_16,s-0.570419,s-2.87528,s344.437
170_17,s-3.8948,s-0.920077,s344.335
170_18,s-2.69275,s0.774704,s164.404
170_19,s0.848573,s-1.0194,s344.7
170_20,s-4.5941,s-0.931392,s344.281
170_21,s-3.39376,s0.76961,s164.476
170_22,s-0.480338,s-0.968306,s344.609
170_23,s-0.505857,s-1.91623,s344.547
170_24,s-0.619886,s-3.7884,s344.062
170_25,s-0.0111041,s-4.68378,s343.897
170_26,s-2.5358,s-0.968162,s344.618
170_27,s1.50859,s-1.94288,s344.893
170_28,s0.807664,s-1.96042,s344.881
170_29,s-1.1777,s-1.90321,s344.65
170_30,s-4.59225,s-0.0151161,s344.159
170_31,s0.211215,s-0.965313,s344.617
170_32,s-3.09086,s1.80974,s343.813
170_33,s-1.16762,s-0.971146,s344.548
170_34,s-1.89214,s-2.83277,s344.126
170_35,s0.307538,s0.868184,s344.421
170_36,s-2.00283,s-3.76242,s344.07
170_37,s1.78732,s1.78702,s344.211
170_38,s-2.10088,s-4.68407,s344.041
170_39,s-1.31741,s-3.782,s343.996
170_40,s-3.26795,s-2.82625,s344.39
170_41,s-3.24177,s-1.89417,s344.458
170_42,s-4.30079,s-3.91355,s165.125
170_43,s-2.69736,s-0.149849,s164.464
170_44,s-2.93498,s-3.86706,s164.429
170_45,s1.23172,s-3.93588,s163.754
170_46,s-2.06094,s-1.12479,s164.653
170_47,s-4.09466,s-1.07212,s164.426
170_48,s0.0144082,s-0.192602,s164.623
170_49,s-2.68252,s1.69192,s164.439
170_50,s-4.09236,s0.760213,s164.362
170_51,s0.505133,s-3.93389,s163.782
170_52,s-4.56627,s1.80564,s344.303
170_53,s-1.22783,s-2.86257,s344.338
170_54,s-0.683696,s-1.11981,s164.578
170_55,s-3.39627,s-0.147011,s164.335
170_56,s0.804665,s1.64897,s164.365
170_57,s0.624545,s-1.16615,s164.802
170_58,s0.887788,s2.54846,s164.406
170_59,s-1.59822,s-3.90961,s164.012
170_60,s1.44522,s-4.68413,s343.41
170_61,s-0.635066,s0.73182,s164.421
170_62,s-1.98045,s1.69359,s164.254
170_63,s0.0525361,s0.730811,s164.585
170_64,s-1.49651,s-2.99539,s164.01
170_65,s-1.3692,s-1.12317,s164.607
170_66,s-0.67285,s-0.190259,s164.593
170_67,s-3.38275,s1.6808,s164.368
170_68,s-4.09776,s-4.6852,s345.122
170_69,s0.0940676,s-3.79525,s343.963
170_70,s1.43298,s0.749171,s164.62
170_71,s-4.79334,s-4.68497,s345.123
170_72,s1.49588,s-1.02732,s345.097
170_73,s1.58596,s2.54839,s164.213
170_74,s1.98928,s-3.02733,s164.232
170_75,s0.113433,s1.64182,s164.424
170_76,s-4.09418,s-1.99205,s164.352
170_77,s-0.205418,s-3.91731,s163.925
170_78,s-2.86004,s-2.95138,s164.197
170_79,s-0.582917,s1.63867,s164.264
170_80,s-0.732881,s-2.0612,s164.382
170_81,s1.29038,s-3.03575,s164.171
170_82,s-3.6117,s-3.89066,s165.101
170_83,s-0.073385,s-2.10114,s164.469
170_84,s-4.08555,s1.66965,s164.285
170_85,s-4.59283,s-2.76441,s344.346
170_86,s0.13137,s-1.94984,s344.617
170_87,s-2.27635,s-3.89237,s164.05
170_88,s-2.17132,s-2.96136,s164.088
170_89,s-4.59367,s-1.84827,s344.221
170_90,s-0.811415,s-3.01625,s164.082
170_91,s-0.90425,s-3.91528,s163.996
170_92,s2.19072,s1.65092,s164.168
170_93,s-3.891,s-0.00424054,s344.427
170_94,s-2.49792,s0.00235952,s344.413
170_95,s1.96931,s-3.94182,s163.311
170_96,s1.98888,s-2.10725,s164.548
170_97,s1.3072,s-2.09673,s164.669
170_98,s0.608914,s-2.11438,s164.524
170_99,s-1.35636,s-0.188988,s164.494
170_100,s-1.71067,s1.82675,s344.505
170_101,s-0.299792,s1.76669,s344.259
170_102,s-1.99318,s0.762986,s164.433
170_103,s-3.88173,s0.9092,s344.359
170_104,s1.49335,s1.66227,s164.186
170_105,s-1.18209,s2.54816,s164.286
170_106,s-4.79355,s-0.166626,s164.287
170_107,s-1.27129,s1.6493,s164.264
170_108,s0.939366,s-0.0346182,s344.623
170_109,s-4.79212,s0.74826,s163.93
170_110,s-3.45409,s-2.04314,s164.368
170_111,s-4.04857,s2.54648,s164.215
170_112,s1.48911,s-3.80028,s344.196
170_113,s0.198373,s2.54798,s164.373
170_114,s0.704397,s-0.177784,s164.619
170_115,s-4.0954,s-0.155842,s164.353
170_116,s-4.79519,s-2.91686,s163.277
170_117,s1.99085,s-0.259451,s165.144
170_118,s-3.53991,s-2.95904,s164.515
170_119,s2.00115,s-1.16452,s164.723
170_120,s-2.76951,s-2.04995,s164.288
170_121,s-3.95047,s-2.82972,s344.395
170_122,s-1.08455,s0.868801,s344.261
170_123,s-4.79213,s1.6604,s163.898
170_124,s-0.0136873,s-1.11091,s164.587
170_125,s-2.03981,s-0.193022,s164.507
170_126,s0.112621,s-2.88846,s344.58
170_127,s-4.79362,s-1.08364,s164.048
170_128,s-1.94693,s2.54789,s164.529
170_129,s2.09356,s0.772447,s164.12
170_130,s-1.13268,s-0.0431446,s344.381
170_131,s-4.79389,s-2.00052,s164.245
170_132,s-2.07508,s-2.04906,s164.035
170_133,s-4.58768,s0.901477,s344.23
170_134,s1.68479,s0.888776,s344.186
170_135,s0.814415,s-2.87956,s344.811
170_136,s1.08452,s1.77838,s344.335
170_137,s2.18776,s-1.95184,s344.731
170_138,s0.7872,s-3.80652,s343.981
170_139,s-1.79226,s0.915002,s344.237
170_140,s0.245003,s-0.0483816,s344.668
170_141,s0.995432,s0.871173,s344.421
170_142,s-0.384714,s0.869715,s344.434
170_143,s-1.85131,s-0.974721,s344.499
170_144,s1.60017,s-0.0628293,s344.495
170_145,s2.19804,s-3.79575,s339.486
170_146,s-2.74462,s-1.11896,s164.415
170_147,s0.600074,s-3.02967,s164.007
170_148,s-1.86425,s-1.89809,s344.641
170_149,s-3.35627,s-3.7487,s344.608
170_150,s-0.107018,s-3.03612,s164.006
170_151,s-1.82549,s-0.0443654,s344.365
170_152,s-3.89527,s-1.83964,s344.456
170_153,s2.19096,s-2.87537,s343.693
170_154,s-0.443453,s-0.0457552,s344.481
170_155,s-4.20284,s-2.96791,s164.523
170_156,s-1.3274,s0.72888,s164.377
170_157,s1.29848,s-1.18189,s164.994
170_158,s1.3359,s-0.199418,s164.938
170_159,s-1.39185,s-2.05225,s164.334
170_160,s-3.39631,s-1.06943,s164.476
170_161,s-0.486445,s2.54806,s164.272
170_162,s2.19093,s-0.10421,s344.113
170_163,s-3.8291,s1.80778,s344.168
170_164,s-2.7753,s-4.68433,s344.414
170_165,s0.39055,s1.77222,s344.409
170_166,s-3.19235,s0.0044974,s344.494
170_167,s-0.710964,s-4.68403,s343.984
170_168,s-2.55695,s-1.90122,s344.462
170_169,s-0.986754,s1.77695,s344.243
170_170,s0.738857,s0.733386,s164.609
