id,x,y,deg
173_1,s-2.23928,s-3.25582,s254.312
173_2,s-1.25331,s-0.534137,s254.113
173_3,s-3.14849,s0.255489,s253.456
173_4,s1.55381,s-0.772018,s253.477
173_5,s-1.33348,s-2.55353,s254.21
173_6,s-3.31014,s-2.34315,s73.921
173_7,s-4.04985,s0.314912,s253.436
173_8,s-1.31298,s-1.8703,s254.08
173_9,s2.32004,s-3.27434,s73.4545
173_10,s-0.399861,s-3.95864,s254.611
173_11,s1.483,s-2.77185,s253.537
173_12,s-0.390999,s-4.65478,s254.369
173_13,s-0.411162,s-3.25639,s254.307
173_14,s-2.22803,s-0.469939,s253.687
173_15,s-0.388456,s-1.90539,s253.913
173_16,s-4.05543,s-4.65843,s250.417
173_17,s0.687774,s0.0519574,s253.484
173_18,s-4.93835,s1.84257,s250.282
173_19,s-1.16947,s2.15716,s254.409
173_20,s-4.07125,s-2.54168,s253.925
173_21,s-1.309,s-4.65435,s254.148
173_22,s-4.93829,s0.412803,s253.335
173_23,s0.67834,s-0.667593,s253.451
173_24,s-0.231143,s0.76232,s254.475
173_25,s-3.16518,s-1.84329,s253.869
173_26,s-3.15137,s-0.437856,s253.756
173_27,s-2.24989,s-1.85013,s254.172
173_28,s-0.329472,s-1.25419,s253.666
173_29,s-0.230123,s0.0626745,s254.184
173_30,s-4.03261,s1.70242,s250.886
173_31,s-1.15779,s1.45743,s254.463
173_32,s-3.95813,s2.36124,s251.092
173_33,s-1.21403,s0.129511,s253.912
173_34,s2.31988,s-3.92286,s72.9634
173_35,s-4.93866,s-2.44299,s253.796
173_36,s-4.93841,s-1.00234,s253.668
173_37,s0.537459,s0.262224,s74.4364
173_38,s0.533503,s0.964737,s74.5412
173_39,s-4.93804,s-1.71367,s253.626
173_40,s-4.93888,s-0.289379,s253.359
173_41,s2.31996,s-4.6021,s71.2945
173_42,s-4.938,s1.11684,s253.07
173_43,s-4.93874,s-3.17291,s253.878
173_44,s-0.53371,s-1.68415,s74.1135
173_45,s-4.93702,s-4.65539,s253.292
173_46,s-3.29902,s-3.75097,s73.8815
173_47,s1.4348,s-0.469968,s73.4731
173_48,s-4.16914,s1.29999,s73.0603
173_49,s-3.30977,s-1.62309,s73.8141
173_50,s2.31901,s-1.97737,s73.3966
173_51,s2.31897,s-1.28211,s73.4916
173_52,s2.31749,s1.60204,s73.4796
173_53,s1.34407,s-2.52667,s73.8597
173_54,s2.31666,s2.35288,s73.4839
173_55,s-4.93701,s-3.90867,s253.772
173_56,s-0.402101,s2.35586,s74.4009
173_57,s1.37127,s-3.82368,s74.3797
173_58,s-4.14982,s1.9777,s70.2008
