id,x,y,deg
95_1,s-2.53785,s-3.02029,s343.975
95_2,s-4.59955,s-2.06601,s344.072
95_3,s-4.09749,s-3.12281,s164.075
95_4,s0.303006,s-0.357273,s336.371
95_5,s-0.426605,s-3.06254,s343.826
95_6,s-1.19136,s-4.84697,s343.773
95_7,s-1.39957,s-4.09885,s163.835
95_8,s0.287212,s-1.25556,s343.984
95_9,s-1.14421,s-3.06035,s343.968
95_10,s-2.63475,s-4.84706,s343.841
95_11,s-4.79874,s-2.21728,s164.07
95_12,s-4.59956,s-2.97953,s344.074
95_13,s-4.79863,s-1.30361,s164.06
95_14,s0.287516,s-4.84671,s343.722
95_15,s-4.7988,s-4.04433,s164.055
95_16,s-1.35131,s-2.30919,s163.981
95_17,s-3.44218,s-3.1596,s163.985
95_18,s-1.91593,s-4.84703,s343.835
95_19,s-3.35258,s-4.84707,s343.84
95_20,s-4.79869,s-3.13071,s164.073
95_21,s-0.431834,s-2.15703,s343.986
95_22,s-4.22122,s-4.08316,s151.047
95_23,s-2.47561,s-1.16147,s343.967
95_24,s-1.81158,s-2.11217,s343.982
95_25,s-1.96238,s-0.409574,s163.968
95_26,s-2.3771,s-0.277583,s343.965
95_27,s-0.989991,s-0.293493,s343.965
95_28,s0.085727,s-2.30667,s163.814
95_29,s-0.626383,s-3.21285,s163.828
95_30,s0.28751,s-2.15692,s343.815
95_31,s-4.0509,s0.485944,s163.974
95_32,s-1.86499,s-3.06008,s343.981
95_33,s-0.425015,s-3.96936,s343.77
95_34,s-1.85815,s-3.96234,s343.893
95_35,s-3.89806,s-2.9717,s344.058
95_36,s-1.15193,s-2.15835,s343.977
95_37,s-4.5996,s-3.89315,s344.074
95_38,s-3.19591,s-2.0511,s344.004
95_39,s-3.89813,s-2.05829,s344.069
95_40,s-2.50091,s-2.10401,s343.983
95_41,s0.0874026,s-3.21233,s163.738
95_42,s-3.23359,s-3.01139,s343.985
95_43,s-0.631281,s-2.30792,s163.969
95_44,s-3.83185,s-0.250164,s343.976
95_45,s-2.57415,s0.485961,s163.969
95_46,s-3.30998,s0.486021,s163.975
95_47,s-2.72738,s-2.24708,s163.985
95_48,s-3.94374,s-3.94211,s344.069
95_49,s-4.09721,s-1.29597,s164.067
95_50,s-4.79868,s0.485932,s163.975
95_51,s-2.67559,s-1.31221,s163.988
95_52,s-0.58605,s-0.4279,s163.984
95_53,s-2.03082,s-2.25732,s163.976
95_54,s0.0682217,s-4.11347,s163.755
95_55,s0.0765466,s-0.508851,s163.985
95_56,s-3.89781,s-1.14485,s344.023
95_57,s-4.59942,s-1.1524,s344.057
95_58,s-4.57558,s-0.245257,s343.985
95_59,s-3.53355,s-4.06522,s163.84
95_60,s-3.1956,s-1.13794,s343.972
95_61,s-3.09402,s-0.253949,s343.976
95_62,s-0.439697,s-1.25506,s343.984
95_63,s-1.77821,s-1.18942,s343.98
95_64,s-0.308227,s-0.299535,s343.958
95_65,s0.287677,s-3.0624,s343.724
95_66,s0.287612,s-3.96902,s343.712
95_67,s-0.639072,s-1.40592,s163.98
95_68,s-1.08932,s-1.19791,s343.981
95_69,s-4.17131,s-4.84873,s331.047
95_70,s-2.12069,s-4.09476,s163.84
95_71,s-3.3951,s-1.28908,s164.046
95_72,s-1.67787,s-0.283233,s343.965
95_73,s-1.87032,s0.485998,s163.966
95_74,s-1.34388,s-3.21116,s163.901
95_75,s-2.57942,s-3.96055,s343.933
95_76,s-1.14019,s-3.96579,s343.833
95_77,s-3.39527,s-2.20219,s164.049
95_78,s-1.27485,s-0.419792,s163.978
95_79,s-2.67448,s-0.400215,s163.964
95_80,s-2.06467,s-3.21089,s163.936
95_81,s-4.09672,s-0.382595,s164.043
95_82,s-0.487532,s0.486026,s163.958
95_83,s-4.79883,s-0.390249,s163.945
95_84,s-2.83892,s-4.09407,s163.842
95_85,s-3.25579,s-3.93673,s343.975
95_86,s-3.39401,s-0.375914,s163.981
95_87,s0.271388,s0.485672,s156.371
95_88,s-4.09729,s-2.20947,s164.073
95_89,s-0.456979,s-4.84697,s343.753
95_90,s-2.75213,s-3.16687,s163.946
95_91,s0.0809082,s-1.4045,s163.985
95_92,s-1.99754,s-1.33454,s163.984
95_93,s-1.17421,s0.48602,s163.964
95_94,s-0.670352,s-4.10625,s163.77
95_95,s-1.30789,s-1.34325,s163.981
