id,x,y,deg
174_1,s-3.31326,s-2.35007,s73.5264
174_2,s2.32291,s0.877762,s73.8948
174_3,s-2.23019,s-0.485142,s254.121
174_4,s-4.05789,s-0.40668,s253.431
174_5,s-2.23319,s-3.95662,s254.195
174_6,s-2.24617,s-2.55871,s254.159
174_7,s-4.06732,s-1.83359,s253.454
174_8,s-3.15977,s-1.14774,s254.104
174_9,s2.32272,s-0.579141,s73.4833
174_10,s-0.399379,s-3.95965,s254.379
174_11,s1.55797,s-1.47175,s253.474
174_12,s-2.06742,s2.15783,s254.382
174_13,s-0.408918,s-3.25868,s254.314
174_14,s-0.393738,s-2.58831,s254.137
174_15,s-1.30538,s-1.19267,s254.092
174_16,s1.59002,s2.14016,s253.961
174_17,s-4.94308,s-3.17304,s253.533
174_18,s-4.05731,s0.293887,s253.467
174_19,s-4.94284,s1.80758,s252.72
174_20,s-4.94321,s1.09994,s253.248
174_21,s2.32208,s-4.60104,s71.4236
174_22,s0.527947,s-4.65653,s254.299
174_23,s-4.9432,s0.396648,s253.382
174_24,s-3.16306,s-2.55624,s254.112
174_25,s-3.1555,s0.231002,s254.115
174_26,s0.487451,s-1.10227,s73.9853
174_27,s-3.15258,s-0.458603,s254.1
174_28,s-4.00766,s2.37573,s246.661
174_29,s0.68023,s2.16131,s253.991
174_30,s-3.08709,s0.870787,s254.143
174_31,s1.55845,s-0.770451,s253.48
174_32,s-4.0296,s1.6867,s248.578
174_33,s-1.13248,s0.757352,s254.371
174_34,s2.32266,s-3.92501,s73.0154
174_35,s0.58108,s-2.02129,s253.448
174_36,s-1.46161,s-4.45705,s74.2016
174_37,s-1.35365,s0.317847,s74.2009
174_38,s0.541459,s0.962849,s74.236
174_39,s-4.94308,s-1.01179,s253.39
174_40,s-4.94327,s-0.306358,s253.391
174_41,s-1.1547,s2.16144,s254.339
174_42,s1.485,s-2.77509,s253.474
174_43,s-4.1687,s1.98268,s72.6633
174_44,s-0.432605,s-0.389901,s74.1329
174_45,s-4.93981,s-4.65915,s251.704
174_46,s1.37096,s-3.82489,s74.5086
174_47,s2.32283,s-1.982,s73.4773
174_48,s-4.1791,s1.28897,s73.2287
174_49,s1.34828,s-2.53188,s73.5279
174_50,s2.32291,s-2.6438,s73.4754
174_51,s2.3228,s-1.281,s73.473
174_52,s2.32216,s1.61593,s73.964
174_53,s0.529383,s2.36147,s74.0347
174_54,s1.43089,s-1.19685,s73.4574
174_55,s0.69265,s0.760053,s253.774
174_56,s-2.38463,s-3.75708,s74.2099
