id,x,y,deg
166_1,s-2.07505,s2.07812,s80.0364
166_2,s0.0478046,s-3.30162,s79.5031
166_3,s2.11013,s-2.1187,s79.1697
166_4,s-0.982231,s-3.30205,s79.5264
166_5,s2.11046,s-2.71924,s79.039
166_6,s0.0492405,s-2.70019,s79.4671
166_7,s-0.982324,s-3.90303,s79.5634
166_8,s-2.04956,s1.48735,s80.0618
166_9,s-2.86987,s-2.88403,s259.471
166_10,s1.07883,s0.901846,s79.9295
166_11,s1.08632,s0.304235,s79.4483
166_12,s1.07923,s-2.7013,s79.4376
166_13,s1.08428,s-0.897573,s79.415
166_14,s0.22549,s0.121485,s259.451
166_15,s-4.92427,s0.734364,s259.489
166_16,s-0.976662,s-1.49627,s79.4884
166_17,s-0.9753,s0.308441,s79.9003
166_18,s-4.92418,s-1.07277,s259.462
166_19,s-2.87011,s-4.68787,s259.645
166_20,s0.054503,s-0.895365,s79.4526
166_21,s-4.92439,s-2.88568,s259.595
166_22,s-4.06523,s-2.0917,s79.4673
166_23,s-2.006,s-1.49599,s79.4752
166_24,s1.08087,s-2.10011,s79.401
166_25,s1.08283,s-1.49888,s79.3953
166_26,s-2.01198,s-3.30207,s79.4742
166_27,s-4.06386,s-1.49042,s79.4611
166_28,s1.08575,s-0.29644,s79.4402
166_29,s2.11068,s-1.51739,s79.2658
166_30,s-2.01243,s-3.9035,s79.5367
166_31,s-3.1099,s2.08174,s77.663
166_32,s-3.08542,s1.48525,s80.0553
166_33,s-4.04892,s2.02951,s254.937
166_34,s0.020792,s1.49011,s79.9786
166_35,s0.0440128,s0.901919,s79.9547
166_36,s0.0561607,s0.307171,s79.568
166_37,s2.11025,s0.296647,s79.4562
166_38,s-2.87361,s-4.08821,s259.634
166_39,s-2.00961,s-4.50272,s79.6426
166_40,s-2.00975,s-2.70011,s79.4668
166_41,s-0.973826,s-0.293251,s79.4873
166_42,s-4.06339,s-0.289026,s79.5075
166_43,s-2.86503,s-1.07819,s259.469
166_44,s-4.15361,s1.6178,s79.4563
166_45,s-0.809305,s-2.28224,s259.467
166_46,s-4.92419,s-0.472355,s259.504
166_47,s-1.01501,s1.48998,s80.033
166_48,s-4.92433,s-1.67373,s259.456
166_49,s-0.811268,s-2.88409,s259.491
166_50,s-4.92407,s-3.50508,s259.986
166_51,s-4.9243,s-2.27716,s259.472
166_52,s-4.89284,s-4.18115,s262.382
166_53,s-4.83881,s-4.6674,s246.76
166_54,s2.09704,s2.07453,s75.2405
166_55,s2.09391,s1.49194,s80.2101
166_56,s-3.89463,s-0.476142,s259.5
166_57,s-2.86422,s-0.477065,s259.549
166_58,s-0.812754,s-3.48597,s259.547
166_59,s-2.00362,s-0.293049,s79.5462
166_60,s-3.92954,s0.723013,s259.479
166_61,s1.07802,s-3.903,s79.4751
166_62,s-2.87217,s-3.48597,s259.465
166_63,s-4.06703,s0.316279,s79.4758
166_64,s1.07866,s-4.50309,s79.5141
166_65,s1.03376,s2.07841,s79.9703
166_66,s-3.04209,s-4.50378,s80.2227
166_67,s2.11002,s0.898269,s79.728
166_68,s-0.978566,s-2.09818,s79.4805
166_69,s-3.0399,s0.308031,s79.4819
166_70,s-0.975161,s-0.894692,s79.492
166_71,s2.11066,s-0.310208,s79.4498
166_72,s2.11087,s-0.914257,s79.4414
166_73,s-2.86928,s0.121201,s259.949
166_74,s-0.812817,s-4.08697,s259.55
166_75,s-3.89685,s-2.28065,s259.489
166_76,s-2.86781,s-2.28209,s259.483
166_77,s2.11062,s-4.51212,s79.0701
166_78,s2.1105,s-3.91464,s79.0618
166_79,s2.11019,s-3.31722,s79.0755
166_80,s-1.03997,s2.07821,s80.0333
166_81,s-3.89476,s-1.07695,s259.455
166_82,s-1.83539,s-1.07865,s259.49
166_83,s-2.00734,s0.307444,s79.9509
166_84,s-0.810403,s-4.68794,s259.5
166_85,s-4.74006,s2.10259,s293.644
166_86,s0.217224,s-3.48565,s259.479
166_87,s-0.868951,s1.89583,s260.03
166_88,s-0.821096,s0.718404,s260.046
166_89,s-1.85592,s0.715297,s260.041
166_90,s-3.03894,s-2.69846,s79.4884
166_91,s-2.02687,s0.898371,s80.0502
166_92,s-4.07335,s-3.30245,s79.9848
166_93,s-4.08531,s-3.9179,s80.9199
166_94,s0.192207,s1.30734,s259.935
166_95,s-2.86618,s-1.6799,s259.478
166_96,s0.214926,s0.718447,s259.899
166_97,s-4.92433,s1.36793,s259.457
166_98,s1.25043,s-1.09753,s259.426
166_99,s-0.80445,s-0.47737,s259.476
166_100,s0.217057,s-4.08643,s259.515
166_101,s-4.92432,s0.128219,s259.476
166_102,s-3.96943,s-4.68782,s246.723
166_103,s-3.89946,s0.123189,s259.481
166_104,s-3.91096,s-4.09892,s260.564
166_105,s-0.844121,s1.30682,s260.026
166_106,s-0.00267277,s2.07814,s79.9995
166_107,s1.24831,s-4.68862,s259.069
166_108,s-2.8909,s0.713277,s259.972
166_109,s-4.0919,s0.944336,s79.489
166_110,s-1.87847,s1.30483,s260.047
166_111,s-1.90443,s1.89341,s260.037
166_112,s-1.83696,s0.12231,s259.898
166_113,s-1.83414,s-0.477179,s259.496
166_114,s-1.8387,s-2.28216,s259.481
166_115,s-1.83678,s-1.68035,s259.489
166_116,s-1.8426,s-3.48633,s259.524
166_117,s-1.84279,s-4.08747,s259.567
166_118,s-3.04521,s-3.90386,s79.5085
166_119,s-2.93729,s1.89078,s260.062
166_120,s-0.992515,s0.900824,s80.0665
166_121,s-2.91358,s1.3028,s260.044
166_122,s-3.89539,s-1.67871,s259.479
166_123,s-3.90221,s-3.48632,s259.61
166_124,s-0.98057,s-2.70007,s79.4759
166_125,s1.05686,s1.49,s79.8653
166_126,s1.22745,s1.3071,s259.859
166_127,s0.223607,s-1.08017,s259.418
166_128,s0.222199,s-1.68124,s259.396
166_129,s0.220183,s-2.28303,s259.434
166_130,s-3.06201,s0.897368,s79.5464
166_131,s-4.06791,s-2.69522,s79.5955
166_132,s0.055974,s-0.293871,s79.4755
166_133,s0.0495594,s-4.50351,s79.5006
166_134,s-0.979694,s-4.5038,s79.5016
