id,x,y,deg
187_1,s-2.81962,s1.22066,s255.758
187_2,s-2.37646,s-3.75605,s78.0102
187_3,s-4.06063,s-0.387433,s76.1953
187_4,s-0.206112,s-3.97724,s258.469
187_5,s-2.4263,s-3.1416,s78.1326
187_6,s1.94277,s1.80317,s255.646
187_7,s1.83033,s-4.0076,s257.465
187_8,s1.91505,s-0.266653,s255.725
187_9,s-4.30844,s-2.63609,s257.997
187_10,s-3.2727,s-3.32562,s258.061
187_11,s-0.135895,s2.70451,s75.8477
187_12,s1.66556,s-4.40695,s77.9182
187_13,s-1.83784,s1.84091,s255.893
187_14,s1.66644,s-3.8175,s77.7709
187_15,s-4.05728,s-4.59743,s256.472
187_16,s-3.27487,s-1.78343,s76.8011
187_17,s0.830287,s-4.59579,s257.916
187_18,s1.00417,s1.8414,s255.675
187_19,s1.91262,s-0.943675,s255.791
187_20,s1.68836,s-1.99944,s75.8146
187_21,s0.924125,s-1.508,s255.776
187_22,s-2.9458,s-0.0496222,s255.773
187_23,s-3.8744,s0.676375,s255.761
187_24,s-1.40497,s-3.16714,s78.499
187_25,s1.91563,s2.5039,s255.638
187_26,s2.70104,s-0.745917,s75.8008
187_27,s-4.85632,s1.39674,s255.785
187_28,s-4.01769,s0.924987,s75.7277
187_29,s-2.21761,s-3.98184,s258.508
187_30,s-2.26293,s-3.34426,s258.502
187_31,s2.7,s2.02265,s75.6414
187_32,s-3.82561,s1.92091,s256.581
187_33,s-1.83296,s1.16099,s255.775
187_34,s0.0539052,s1.84255,s255.805
187_35,s-1.17231,s-0.584339,s75.7622
187_36,s-3.08957,s0.197182,s75.7617
187_37,s1.66426,s-3.22694,s77.7638
187_38,s-1.87855,s2.50923,s255.887
187_39,s0.833534,s-0.671085,s75.7678
187_40,s-0.00841943,s-0.828404,s255.774
187_41,s-2.17831,s-4.59562,s257.205
187_42,s0.050741,s-0.190745,s255.769
187_43,s1.77547,s-0.670237,s75.733
187_44,s-4.21554,s-3.32124,s258.042
187_45,s-2.95297,s2.0543,s76.5824
187_46,s-4.08391,s-1.97746,s256.804
187_47,s-3.15282,s-4.59598,s256.701
187_48,s-1.10194,s-1.428,s256.388
187_49,s0.996942,s1.1664,s255.721
187_50,s1.92793,s1.09876,s255.668
187_51,s-0.106122,s0.685187,s75.8098
187_52,s-0.104624,s1.361,s75.8568
187_53,s2.70205,s-3.86269,s77.4522
187_54,s-3.00349,s2.70342,s76.5631
187_55,s-0.947227,s-0.152297,s255.769
187_56,s-4.70055,s-3.91598,s208.376
187_57,s-4.85634,s0.0888725,s255.77
187_58,s-4.854,s2.57991,s256.29
187_59,s1.90799,s-1.61607,s255.793
187_60,s-3.81194,s2.5113,s256.596
187_61,s-3.03688,s0.836939,s75.7466
187_62,s-0.0879392,s-1.46598,s256.126
187_63,s-0.372169,s-3.79011,s78.4915
187_64,s0.989641,s-0.869268,s255.738
187_65,s-0.893919,s1.16325,s255.837
187_66,s1.76839,s-1.35228,s75.7401
187_67,s-1.98329,s1.38199,s75.7546
187_68,s-1.38363,s-2.53066,s77.2531
187_69,s-2.14883,s-2.04615,s256.751
187_70,s0.853573,s-2.16263,s255.809
187_71,s0.0524175,s1.16554,s255.825
187_72,s-1.01646,s-0.783557,s255.779
